partner_id,sku_id,category,price,lead_time_weeks,week,sales_units,weekofyear,year,sales_units_lag_1,sales_units_lag_2,sales_units_lag_3,sales_units_lag_4,sales_units_rollmean_4,sales_units_rollmean_8
P1,S001,tops,118,1,2022-01-31,25,5,2022,20.0,13.0,27.0,7.0,21.25,18.4
P1,S001,tops,118,1,2022-02-07,39,6,2022,25.0,20.0,13.0,27.0,24.25,21.833333333333332
P1,S001,tops,118,1,2022-02-14,18,7,2022,39.0,25.0,20.0,13.0,25.5,21.285714285714285
P1,S001,tops,118,1,2022-02-21,9,8,2022,18.0,39.0,25.0,20.0,22.75,19.75
P1,S001,tops,118,1,2022-02-28,22,9,2022,9.0,18.0,39.0,25.0,22.0,21.625
P1,S001,tops,118,1,2022-03-07,23,10,2022,22.0,9.0,18.0,39.0,18.0,21.125
P1,S001,tops,118,1,2022-03-14,35,11,2022,23.0,22.0,9.0,18.0,22.25,23.875
P1,S001,tops,118,1,2022-03-21,43,12,2022,35.0,23.0,22.0,9.0,30.75,26.75
P1,S001,tops,118,1,2022-03-28,16,13,2022,43.0,35.0,23.0,22.0,29.25,25.625
P1,S001,tops,118,1,2022-04-04,25,14,2022,16.0,43.0,35.0,23.0,29.75,23.875
P1,S001,tops,118,1,2022-04-11,49,15,2022,25.0,16.0,43.0,35.0,33.25,27.75
P1,S001,tops,118,1,2022-04-18,26,16,2022,49.0,25.0,16.0,43.0,29.0,29.875
P1,S001,tops,118,1,2022-04-25,50,17,2022,26.0,49.0,25.0,16.0,37.5,33.375
P1,S001,tops,118,1,2022-05-02,21,18,2022,50.0,26.0,49.0,25.0,36.5,33.125
P1,S001,tops,118,1,2022-05-09,26,19,2022,21.0,50.0,26.0,49.0,30.75,32.0
P1,S001,tops,118,1,2022-05-16,0,20,2022,26.0,21.0,50.0,26.0,24.25,26.625
P1,S001,tops,118,1,2022-05-23,32,21,2022,0.0,26.0,21.0,50.0,19.75,28.625
P1,S001,tops,118,1,2022-05-30,46,22,2022,32.0,0.0,26.0,21.0,26.0,31.25
P1,S001,tops,118,1,2022-06-06,16,23,2022,46.0,32.0,0.0,26.0,23.5,27.125
P1,S001,tops,118,1,2022-06-13,8,24,2022,16.0,46.0,32.0,0.0,25.5,24.875
P1,S001,tops,118,1,2022-06-20,19,25,2022,8.0,16.0,46.0,32.0,22.25,21.0
P1,S001,tops,118,1,2022-06-27,33,26,2022,19.0,8.0,16.0,46.0,19.0,22.5
P1,S001,tops,118,1,2022-07-04,18,27,2022,33.0,19.0,8.0,16.0,19.5,21.5
P1,S001,tops,118,1,2022-07-11,12,28,2022,18.0,33.0,19.0,8.0,20.5,23.0
P1,S001,tops,118,1,2022-07-18,36,29,2022,12.0,18.0,33.0,19.0,24.75,23.5
P1,S001,tops,118,1,2022-07-25,25,30,2022,36.0,12.0,18.0,33.0,22.75,20.875
P1,S001,tops,118,1,2022-08-01,16,31,2022,25.0,36.0,12.0,18.0,22.25,20.875
P1,S001,tops,118,1,2022-08-08,4,32,2022,16.0,25.0,36.0,12.0,20.25,20.375
P1,S001,tops,118,1,2022-08-15,25,33,2022,4.0,16.0,25.0,36.0,17.5,21.125
P1,S001,tops,118,1,2022-08-22,8,34,2022,25.0,4.0,16.0,25.0,13.25,18.0
P1,S001,tops,118,1,2022-08-29,33,35,2022,8.0,25.0,4.0,16.0,17.5,19.875
P1,S001,tops,118,1,2022-09-05,11,36,2022,33.0,8.0,25.0,4.0,19.25,19.75
