partner_id,sku_id,category,price,lead_time_weeks,week,sales_units
P1,S001,tops,118,1,2022-01-03,7
P1,S002,outerwear,45,4,2022-01-03,9
P1,S003,dresses,67,3,2022-01-03,1
P1,S004,shoes,80,2,2022-01-03,26
P1,S005,shoes,84,2,2022-01-03,25
P1,S006,outerwear,25,4,2022-01-03,0
P1,S007,tops,91,1,2022-01-03,36
P1,S008,dresses,40,3,2022-01-03,20
P1,S009,tops,116,1,2022-01-03,1
P1,S010,tops,108,1,2022-01-03,21
P1,S011,dresses,139,3,2022-01-03,36
P1,S012,outerwear,116,4,2022-01-03,15
P1,S013,dresses,67,3,2022-01-03,8
P1,S014,outerwear,145,4,2022-01-03,32
P1,S015,dresses,73,3,2022-01-03,47
P1,S016,outerwear,62,4,2022-01-03,23
P1,S017,dresses,137,3,2022-01-03,18
P1,S018,tops,68,1,2022-01-03,13
P1,S019,outerwear,29,4,2022-01-03,15
P1,S020,shoes,81,2,2022-01-03,28
P1,S021,dresses,123,3,2022-01-03,12
P1,S022,shoes,44,2,2022-01-03,2
P1,S023,tops,80,1,2022-01-03,3
P1,S024,outerwear,36,4,2022-01-03,37
P1,S025,outerwear,109,4,2022-01-03,20
P1,S026,dresses,81,3,2022-01-03,22
P1,S027,shoes,62,2,2022-01-03,25
P1,S028,outerwear,49,4,2022-01-03,28
P1,S029,dresses,93,3,2022-01-03,3
P1,S030,shoes,107,2,2022-01-03,1
P1,S031,shoes,142,2,2022-01-03,15
P1,S032,tops,76,1,2022-01-03,19
P1,S033,tops,40,1,2022-01-03,37
P1,S034,dresses,128,3,2022-01-03,30
P1,S035,outerwear,101,4,2022-01-03,18
P1,S036,tops,111,1,2022-01-03,33
P1,S037,outerwear,32,4,2022-01-03,1
P1,S038,outerwear,60,4,2022-01-03,27
P1,S039,shoes,119,2,2022-01-03,28
P1,S040,dresses,128,3,2022-01-03,23
P1,S041,tops,76,1,2022-01-03,23
P1,S042,outerwear,124,4,2022-01-03,15
P1,S043,dresses,129,3,2022-01-03,44
P1,S044,shoes,70,2,2022-01-03,10
P1,S045,tops,136,1,2022-01-03,20
P1,S046,outerwear,57,4,2022-01-03,20
P1,S047,shoes,51,2,2022-01-03,41
P1,S048,outerwear,108,4,2022-01-03,15
P1,S049,dresses,102,3,2022-01-03,13
P1,S050,outerwear,38,4,2022-01-03,0
P2,S001,tops,118,4,2022-01-03,16
P2,S002,outerwear,45,1,2022-01-03,37
P2,S003,dresses,67,2,2022-01-03,0
P2,S004,shoes,80,2,2022-01-03,41
P2,S005,shoes,84,2,2022-01-03,27
P2,S006,outerwear,25,1,2022-01-03,7
P2,S007,tops,91,3,2022-01-03,10
P2,S008,dresses,40,1,2022-01-03,15
P2,S009,tops,116,3,2022-01-03,15
P2,S010,tops,108,3,2022-01-03,14
P2,S011,dresses,139,4,2022-01-03,21
P2,S012,outerwear,116,3,2022-01-03,29
P2,S013,dresses,67,2,2022-01-03,4
P2,S014,outerwear,145,4,2022-01-03,10
